timestamp,portfolio,symbol,side,qty,price,pnl,cash_after,generation,votes,notes
,SHORT_TERM,MADHAVIPL.NS,BUY,14,2427.2329317859226,,216018.7389549971,,,
,SHORT_TERM,DCMNVL.NS,BUY,11,2713.010783390127,,186175.6203377057,,,
,SHORT_TERM,3PLAND.NS,BUY,9,2968.6346163378025,,159457.90879066547,,,
,SHORT_TERM,WEALTH.NS,BUY,9,2480.059409775851,,137137.3741026828,,,
,SHORT_TERM,HEXT.NS,BUY,9,2068.840917318891,,118517.80584681279,,,
,SHORT_TERM,INOXGREEN.NS,BUY,7,2291.0999554422656,,102480.10615871692,,,
,SHORT_TERM,MADHAVIPL.NS,SELL,14,2497.4804294184983,0.0,171724.32030720415,,,
,SHORT_TERM,WEALTH.NS,SELL,9,2500.315727134415,0.0,194227.1618514139,,,
,SHORT_TERM,GIPCL.NS,BUY,2,2824.015216708554,,188579.1314179968,,,
,SHORT_TERM,HSBCGOLD.NS,BUY,4,1540.7322272671613,,182416.20250892817,,,
,SHORT_TERM,DCMNVL.NS,SELL,11,2849.8541477751173,0.0,213764.59813445446,,,
,SHORT_TERM,3PLAND.NS,SELL,9,3083.756341109495,0.0,241518.4052044399,,,
,SHORT_TERM,VSTTILLERS.NS,BUY,4,1950.020253096681,,233718.3241920532,,,
,SHORT_TERM,DREAMFOLKS.NS,BUY,3,2615.3584298785263,,225872.24890241763,,,
,SHORT_TERM,HSBCGOLD.NS,SELL,4,1537.4235606089999,0.0,232021.94314485363,,,
,SHORT_TERM,GANESHCP.NS,BUY,2,3024.423834735165,,225973.0954753833,,,
,SHORT_TERM,DREAMFOLKS.NS,SELL,3,2623.8917051277413,0.0,233844.77059076654,,,
,SHORT_TERM,MADHAVIPL.NS,BUY,3,2594.1801764867546,,226062.23006130627,,,
,SHORT_TERM,INOXGREEN.NS,SELL,7,2294.3960361830336,0.0,242123.0023145875,,,
,SHORT_TERM,FINPIPE.NS,BUY,3,2340.4514000092986,,235101.64811455962,,,
,SHORT_TERM,FINPIPE.NS,SELL,3,2294.937025060044,0.0,241986.45918973975,,,
,SHORT_TERM,GSEC5IETF.NS,BUY,2,3438.1210098370116,,235110.21717006573,,,
,SHORT_TERM,GIPCL.NS,SELL,2,2958.635003481427,0.0,241027.48717702858,,,
,SHORT_TERM,GSEC5IETF.NS,SELL,2,3440.560258376428,0.0,247908.60769378144,,,
,SHORT_TERM,GROWWNIFTY.NS,BUY,2,3207.6738326816085,,241493.2600284182,,,
,SHORT_TERM,DCMNVL.NS,BUY,2,3015.7560629182526,,235461.7479025817,,,
,SHORT_TERM,MADHAVIPL.NS,SELL,3,2697.6193020835804,0.0,243554.60580883245,,,
,SHORT_TERM,MIDSMALL.NS,BUY,4,1766.0687234027835,,236490.3309152213,,,
,SHORT_TERM,DCMNVL.NS,SELL,2,3170.099426292029,0.0,242830.52976780536,,,
,SHORT_TERM,GIPCL.NS,BUY,2,3011.737408087169,,236807.05495163103,,,
,SHORT_TERM,HEXT.NS,SELL,9,2100.837574802221,0.0,255714.593124851,,,
,SHORT_TERM,MIDSMALL.NS,SELL,4,1739.1454158428135,0.0,262671.17478822224,,,
,SHORT_TERM,MADHAVIPL.NS,BUY,3,2677.8460914350376,,254637.63651391712,,,
,SHORT_TERM,DCMNVL.NS,BUY,2,3254.5657352161597,,248128.5050434848,,,
,SHORT_TERM,VSTTILLERS.NS,SELL,4,2078.527743919612,0.0,256442.61601916325,,,
,SHORT_TERM,RETAIL.NS,BUY,3,2609.6310590900703,,248613.72284189303,,,
,SHORT_TERM,GANESHCP.NS,SELL,2,3640.2335028074176,0.0,255894.18984750786,,,
,SHORT_TERM,SKIPPER.NS,BUY,3,2689.3135509831254,,247826.24919455848,,,
,SHORT_TERM,MADHAVIPL.NS,SELL,3,2916.82260579293,0.0,256576.71701193726,,,
,SHORT_TERM,LIQUIDBETA.NS,BUY,2,3127.722132891695,,250321.27274615387,,,
,SHORT_TERM,LIQUIDBETA.NS,SELL,2,3296.281191289037,0.0,256913.83512873194,,,
,SHORT_TERM,VENTIVE.NS,BUY,4,1935.8865801115508,,249170.28880828572,,,
,SHORT_TERM,MOTHERSON.NS,BUY,212,169.36586566069477,,214094.43647993272,,,
,SHORT_TERM,SMALLIETF.NS,BUY,1674,18.41,,183276.09647993272,,,
,SHORT_TERM,FLUOROCHEM.NS,BUY,5,4616.815406397881,,160192.0194479433,,,
,SHORT_TERM,OSWALPUMPS.NS,BUY,77,297.85,,137257.5694479433,,,
,SHORT_TERM,JAYBARMARU.NS,BUY,158,124.9,,117523.3694479433,,,
,SHORT_TERM,DEVX.NS,BUY,489,34.6,,100603.9694479433,,,
,SHORT_TERM,MOTHERSON.NS,SELL,212,166.12,0.0,170014.60602442088,,,
,SHORT_TERM,EMAMIREAL.NS,BUY,86,70.51,,163950.7460244209,,,
,SHORT_TERM,EMAMIREAL.NS,SELL,86,71.17035789832896,0.0,170071.39680367717,,,
,SHORT_TERM,LTM.NS,BUY,1,4336.108562635182,,165735.288241042,,,
,SHORT_TERM,FLUOROCHEM.NS,SELL,5,4626.0,0.0,188865.288241042,,,
,SHORT_TERM,PEARLPOLY.NS,BUY,428,15.86657561430977,,182074.3938781174,,,
,SHORT_TERM,PEARLPOLY.NS,SELL,428,16.416035456610484,0.0,189100.4570535467,,,
,SHORT_TERM,KAYNES.NS,BUY,1,3953.6,,185146.8570535467,,,
,SHORT_TERM,SANOFICONR.NS,BUY,8,4177.0,,216584.0,,,
,SHORT_TERM,RPPINFRA.NS,BUY,539,57.84,,185408.24,,,
,SHORT_TERM,RTNPOWER.NS,BUY,3422,7.8,,158716.63999999998,,,
,SHORT_TERM,ELIQUID.NS,BUY,21,1050.333474979598,,136659.63702542844,,,
,SHORT_TERM,BIRLAMONEY.NS,BUY,155,126.28,,117086.23702542845,,,
,SHORT_TERM,ORIENTCEM.NS,BUY,130,128.98,,100318.83702542845,,,
,SHORT_TERM,MARUTI.NS,BUY,11,3035.172908872536,,216613.0980024021,ST_SWING_ENTRY
,SHORT_TERM,SUNPHARMA.NS,BUY,8,3694.259892444289,,187059.0188628478,ST_SWING_ENTRY
,SHORT_TERM,MARUTI.NS,SELL,11,13507.891110593848,0.0,259420.6210623027,ST_SWING_EXIT
,SHORT_TERM,SUNPHARMA.NS,SELL,8,1909.5059043256877,0.0,274696.6682969082,ST_SWING_EXIT
,SHORT_TERM,SUNPHARMA.NS,BUY,20,1911.309970194709,,236470.468893014,ST_SWING_ENTRY
,SHORT_TERM,LT.NS,BUY,8,4080.496267224714,,203826.4987552163,ST_SWING_ENTRY
,SHORT_TERM,SUNPHARMA.NS,SELL,20,1911.2719877286343,0.0,242051.938509789,ST_SWING_EXIT
,SHORT_TERM,LT.NS,SELL,8,4083.5730494945915,0.0,274720.5229057457,ST_SWING_EXIT
,SHORT_TERM,TCS.NS,BUY,14,2274.7580301543826,,242873.91048358436,ST_SWING_ENTRY
,SHORT_TERM,MARUTI.NS,BUY,2,13516.875020786872,,215840.16044201062,ST_SWING_ENTRY
,SHORT_TERM,MARUTI.NS,SELL,2,13525.829746012038,0.0,242891.8199340347,ST_SWING_EXIT
,SHORT_TERM,TCS.NS,SELL,14,2273.563278824489,0.0,274721.7058375775,ST_SWING_EXIT
,SHORT_TERM,TCS.NS,BUY,4,2271.8156644527608,,265634.4431797665,ST_SWING_ENTRY
,SHORT_TERM,SUNPHARMA.NS,BUY,5,1910.388929951603,,256082.49853000845,ST_SWING_ENTRY
,SHORT_TERM,TCS.NS,SELL,4,2271.848877739366,0.0,265169.89404096594,ST_SWING_EXIT
,SHORT_TERM,LT.NS,BUY,2,4086.1150506591835,,256997.66393964758,ST_SWING_ENTRY
,SHORT_TERM,LT.NS,SELL,2,4086.4976861564437,0.0,265170.65931196045,ST_SWING_EXIT
,SHORT_TERM,SUNPHARMA.NS,SELL,5,1912.6763929033573,0.0,274734.0412764772,ST_SWING_EXIT
,SHORT_TERM,LT.NS,BUY,2,4087.8101785953454,,266558.42091928655,ST_SWING_ENTRY
,SHORT_TERM,LT.NS,SELL,2,4081.1746708975097,0.0,274720.7702610816,ST_SWING_EXIT
,SHORT_TERM,TCS.NS,BUY,4,2273.3506587315405,,265627.36762615544,ST_SWING_ENTRY
,SHORT_TERM,TCS.NS,SELL,4,2272.585681985834,0.0,274717.71035409876,ST_SWING_EXIT
,SHORT_TERM,SUNPHARMA.NS,BUY,5,1909.5215751768296,,265170.1024782146,ST_SWING_ENTRY
,SHORT_TERM,SUNPHARMA.NS,SELL,5,1910.5040948540445,0.0,274722.6229524848,ST_SWING_EXIT
,SHORT_TERM,SUNPHARMA.NS,BUY,5,1909.6295560533297,,265174.47517221817,ST_SWING_ENTRY
,SHORT_TERM,SUNPHARMA.NS,SELL,5,1911.1675231904262,0.0,274730.3127881703,ST_SWING_EXIT
,SHORT_TERM,FILATFASH.NS,BUY,9890,0.18988616779199471,,272852.33858870744,ST_SWING_ENTRY
,SHORT_TERM,DELTACORP.NS,BUY,160,61.20666561737669,,263059.27208992717,ST_SWING_ENTRY
,SHORT_TERM,SHANKESH.NS,BUY,93,101.47454437435701,,253622.13946311196,ST_SWING_ENTRY
,SHORT_TERM,FILATFASH.NS,SELL,9890,0.19018048279508948,0.0,255503.0244379554,ST_SWING_EXIT
,SHORT_TERM,DELTACORP.NS,SELL,160,61.34048740878114,0.0,265317.50242336036,ST_SWING_EXIT
,SHORT_TERM,KWIL.NS,BUY,198,48.19140507280398,,255775.60421894517,ST_SWING_ENTRY
,SHORT_TERM,SHYAMMETL.NS,BUY,9,1000.4757827126023,,246771.32217453176,ST_SWING_ENTRY
,SHORT_TERM,MUNJALAU.NS,BUY,79,111.21729869290508,,237985.15557779226,ST_SWING_ENTRY
,SHORT_TERM,DELTACORP.NS,BUY,139,61.35597868133371,,229456.6745410869,ST_SWING_ENTRY
,SHORT_TERM,KWIL.NS,SELL,198,48.01759874840504,0.0,238964.1590932711,ST_SWING_EXIT
,SHORT_TERM,SHYAMMETL.NS,SELL,9,998.9474175863959,0.0,247954.68585154865,ST_SWING_EXIT
,SHORT_TERM,MUNJALAU.NS,SELL,79,111.87308858413917,0.0,256792.65984969566,ST_SWING_EXIT
,SHORT_TERM,PLATIND.NS,BUY,44,207.7124642737329,,247653.31142165142,ST_SWING_ENTRY
,SHORT_TERM,SCILAL.NS,BUY,223,39.95841623288104,,238742.58460171896,ST_SWING_ENTRY
,SHORT_TERM,SCILAL.NS,SELL,223,39.919363177952675,0.0,247644.6025904024,ST_SWING_EXIT
,SHORT_TERM,CSBBANK.NS,BUY,26,330.7649792633817,,239044.7131295545,ST_SWING_ENTRY
,SHORT_TERM,SCILAL.NS,BUY,215,39.89259078406502,,230467.8061109805,ST_SWING_ENTRY
,SHORT_TERM,QPOWER.NS,BUY,6,1307.7792241052834,,222621.13076634883,ST_SWING_ENTRY
,SHORT_TERM,DELTACORP.NS,SELL,139,61.25820426652983,0.0,231136.02115939648,ST_SWING_EXIT
,SHORT_TERM,PLATIND.NS,SELL,44,207.63218648483308,0.0,240271.83736472914,ST_SWING_EXIT
,SHORT_TERM,SCILAL.NS,SELL,215,40.01397751502111,0.0,248874.84253045867,ST_SWING_EXIT
,SHORT_TERM,CANFINHOME.NS,BUY,11,805.1492345831764,,240018.20095004374,ST_SWING_ENTRY
,SHORT_TERM,PLATIND.NS,BUY,41,207.58352538294744,,231507.27640934289,ST_SWING_ENTRY
,SHORT_TERM,SHANKESH.NS,SELL,93,102.21469364730783,0.0,241013.24291854253,ST_SWING_EXIT
,SHORT_TERM,CSBBANK.NS,SELL,26,330.9625411099218,0.0,249618.2689874005,ST_SWING_EXIT
,SHORT_TERM,QPOWER.NS,SELL,6,1309.2435351013435,0.0,257473.73019800853,ST_SWING_EXIT
